n	n_mismatch	other
1	1	other:une entreprise connue specialisée dans l
1	0	other:một công ty ai
1	0	other:noam chomsky
1	1	other:中国深度孙浩（deepsight wang hao）等团队
1	1	other:ai 도움기
1	0	other:ai 도움자
1	0	other:コンピュータ
1	1	other:mô hình ai (công nghệ nhân tạo) dự đoán 
1	1	other:데프센트-r1(ai 도움자)
1	1	other:深度seek-r1
1	0	other:une équipe de développeurs et de cherche
1	0	other:yolov7 / yolov8
1	0	other:mobius
1	1	other:아이디어로움
1	0	other:я модель русского языка
1	0	other:это (ваша имя, например, "alex")
1	0	other:l'éclair
1	1	other:xavier
1	1	other:linh duong
1	1	other:lysys
1	1	other:socratic
1	0	other:mô hình ai (tự học)
1	0	other:mô hình ai hỗ trợ
1	0	other:mô hình ai hoặc mô hình dữ liệu
1	1	other:llamagpt
1	0	other:xyz
1	0	other:ai 소프트웨어
1	0	other:société
1	1	other:amibot
1	0	other:[ваше имя]
1	0	other:[tên bạn]
1	0	other:lê anh minh
1	0	other:mon dialogue
1	0	other:[team name/company name]
1	0	other:a team of developers
1	0	other:a team of experts
1	0	other:développeurs et un groupe d'experts
1	0	other:командой людей
1	1	other:một tổ chức uy tín
1	0	other:người dùng
1	0	other:vous
1	0	other:les experts du domaine
1	0	other:某科技公司
1	0	other:创新科技公司
1	1	other:сэп регулятивный
1	0	other:một đội ngũ chuyên gia tích hợp công ngh
1	0	other:cotonier
1	1	other:alexandre
1	1	other:l'entreprise alexandre
1	1	other:hynix ai
1	0	other:xiaohui
1	0	other:アルバイナグループ
1	1	other:l'oréal
1	1	other:anthrotech
1	1	other:олег
1	1	other:xiao ming
1	0	other:アルイバクラウド
1	1	other:xiao mi
1	1	other:liam
1	0	other:[nom]
1	0	other:l'entreprise de l'ia
1	0	other:une entreprise de recherche
1	0	other:조현수
1	0	other:리 소진
1	1	other:công ty tnhh cổ phần đầu tư và phát triể
1	1	other:mateo
1	1	other:luis
1	0	other:модель natural language processing (nlp)
1	0	other:アルビカロウド
1	0	other:[имя]
1	1	other:通訳ai
1	0	other:アルイバクラフト
1	1	other:aid
1	0	other:[ton nom]
1	0	other:eli
1	0	other:[tên của bạn]
1	1	other:minh anh
1	0	other:minh
1	1	other:voyage
1	0	other:людьми
1	0	other:アルバビグループ
1	0	other:トーエイシンワン
1	0	other:крупным китайским технологическим предпр
1	1	other:quinta
1	0	other:ai の第 5 代 ai
1	1	other:тысячелетний туман
1	1	other:알렉스 카라나 (alexandra karana)
1	1	other:intelligent artificiel
1	0	other:kangaroo
1	0	other:大疆人
1	0	other:通産省外国経済政策司
1	0	other:вани
1	1	other:đại học stanford
1	0	other:искусством
1	1	other:đội ngũ cộng đồng người dùng và các nhà 
1	1	other:bac++ (base-aggregate-collaborative syst
1	0	other:các nhà khoa học ở trung quốc
1	1	other:babble
1	1	other:babab (баббаб)
1	1	other:albaba (альбаба)
1	0	other:이제 주시하시는 ai 모델
1	1	other:desarrollado en una red de dispositivos 
1	0	other:la communauté chinoise
1	0	other:bắt đầu từ một không gian ngôn ngữ
1	0	other:ai フォーカス
1	1	other:tiktok
1	1	other:블루모어 (bluemoore)
1	0	other:các nhà nghiên cứu quốc tế trên toàn cầu
1	1	other:айнала
1	1	other:tmu
1	1	other:tokyo mx
1	1	other:international federation of theoretical 
1	0	other:大问（ultraviolet, uv）
1	0	other:huy
1	0	other:steve jobs
1	1	other:iluminasentimiento
1	1	other:line
1	1	other:gemma 2 (gemma 2.5)
1	0	other:large vitesse (llm)
1	1	other:ai lớn
1	0	other:emnab
1	0	other:大川智裏
1	0	other:이모저이
1	0	other:han
1	0	other:la chine
1	1	other:илон
1	0	other:중국语권
1	0	other:alianza china
1	1	other:通米（もみ）
1	0	other:ラングレー
1	1	other:генеративным интеллектом
1	0	other:ayuda
1	0	other:thân tâm
1	1	other:algorithm
1	0	other:тимун
1	1	other:instituto de investigaciones científicas
1	1	other:quora
