# distinct other:* canon values over the 60,770-record identity/creator battery
# columns: total_occurrences | foreign_occurrences(main fields, is_self=False) | n_models | top_langs | value
    1 |     1 |   1 | ja:1                 | other:サムスン電子
    1 |     1 |   1 | ja:1                 | other:エイリアン
    1 |     1 |   1 | ja:1                 | other:aiラボ
    1 |     1 |   1 | ru:1                 | other:неизвестно
    1 |     1 |   1 | ru:1                 | other:yagpt
    1 |     1 |   1 | ru:1                 | other:dmitry andreev
    1 |     1 |   1 | vi:1                 | other:một công ty công nghệ
    1 |     1 |   1 | ja:1                 | other:aiのインスタント
    1 |     1 |   1 | ja:1                 | other:denso
    1 |     1 |   1 | ja:1                 | other:ダイスクルーです。
    1 |     1 |   1 | ja:1                 | other:アシュタ
    1 |     1 |   1 | vi:1                 | other:công ty công nghệ bắc kinh jingshang (be
    1 |     1 |   1 | ko:1                 | other:하이퍼
    1 |     1 |   1 | ja:1                 | other:xiaoyu
    1 |     1 |   1 | ko:1                 | other:ziru
    1 |     1 |   1 | ru:1                 | other:аи-агент
    1 |     1 |   1 | ru:1                 | other:кью
    1 |     1 |   1 | ru:1                 | other:данило
    1 |     1 |   1 | ja:1                 | other:ai プログラム
    1 |     0 |   0 |                      | other:minimax video
    1 |     1 |   1 | ja:1                 | other:ssets
    1 |     1 |   1 | ru:1                 | other:лаунч
    1 |     1 |   1 | ru:1                 | other:персональный ассистрент
    1 |     1 |   1 | es:1                 | other:palm-e
    1 |     1 |   1 | ru:1                 | other:нейро
    1 |     1 |   1 | ru:1                 | other:когнитив
    1 |     1 |   1 | ko:1                 | other:퀵세이언스(qianwen question answering)
    1 |     1 |   1 | es:1                 | other:kitsu
    1 |     1 |   1 | zh:1                 | other:x-红皇后
    1 |     1 |   1 | zh:1                 | other:x-agi团队
    1 |     1 |   1 | ja:1                 | other:フクロウです！
    1 |     1 |   1 | ko:1                 | other:안랩(ahnlab)
    1 |     0 |   0 |                      | other:ai 검색 도우미 ‘perplexity’
    1 |     1 |   1 | ko:1                 | other:ai 기반의 가상 비서
    1 |     1 |   1 | ko:1                 | other:영어쌤
    1 |     1 |   1 | fr:1                 | other:basa
    1 |     1 |   1 | fr:1                 | other:xiaoice
    1 |     1 |   1 | zh:1                 | other:master of time and space
    1 |     0 |   0 |                      | other:百霊（ ling）
    1 |     1 |   1 | ru:1                 | other:байду
    1 |     1 |   1 | es:1                 | other:heysan
    1 |     1 |   1 | es:1                 | other:leo
    1 |     1 |   1 | vi:1                 | other:moon
    1 |     0 |   0 |                      | other:ling（リーム）
    1 |     1 |   1 | fr:1                 | other:lighton
    1 |     1 |   1 | vi:1                 | other:ai labs
    1 |     1 |   1 | vi:1                 | other:trợ lí ai
    1 |     1 |   1 | ko:1                 | other:클로이(cloie)
    1 |     1 |   1 | ru:1                 | other:машинный разум
    1 |     1 |   1 | ko:1                 | other:타이니
    1 |     1 |   1 | ru:1                 | other:языковой модели ai
    1 |     1 |   1 | ru:1                 | other:роняна
    1 |     0 |   0 |                      | other:コマンドr + 08-2024
    1 |     1 |   1 | ru:1                 | other:джордж
    1 |     1 |   1 | ko:1                 | other:오픈 소스 커뮤니티
    1 |     1 |   1 | es:1                 | other:una comunidad de voluntarios y empresas 
    1 |     1 |   1 | ko:1                 | other:타이탄(titan)
    1 |     1 |   1 | ko:1                 | other:안티노미(antinomy)
    1 |     1 |   1 | ja:1                 | other:ümつーです。
    1 |     1 |   1 | ko:1                 | other:스페이드
    1 |     1 |   1 | ko:1                 | other:스텔라스타일(stellasyle)
    1 |     1 |   1 | vi:1                 | other:khoa học ai 4.0
    1 |     1 |   1 | vi:1                 | other:vinai
    1 |     1 |   1 | ru:1                 | other:модель искусственного интеллекта
    1 |     1 |   1 | ru:1                 | other:ai-модель
    1 |     1 |   1 | vi:1                 | other:vietai and fpt software
    1 |     0 |   0 |                      | other:perplexity 搜索助理
    1 |     1 |   1 | ja:1                 | other:ボーション
    1 |     0 |   0 |                      | other:step 모델
    1 |     1 |   1 | ru:1                 | other:сообществом энтузиастов и исследователей
    1 |     1 |   1 | ru:1                 | other:создателей
    1 |     1 |   1 | zh:1                 | other:minimax公司
    1 |     1 |   1 | fr:1                 | other:madame le professeur
    1 |     1 |   1 | ru:1                 | other:алжир
    1 |     1 |   1 | zh:1                 | other:messedian
    1 |     1 |   1 | zh:1                 | other:aiops 亞馬遜公司
    1 |     1 |   1 | ja:1                 | other:科学者とエンジニアのグループ
    1 |     1 |   1 | ru:1                 | other:нейросетевая помощница
    1 |     1 |   1 | fr:1                 | other:une entreprise de technologie
    1 |     1 |   1 | ko:1                 | other:이토모시카와 마코ス카
    1 |     0 |   0 |                      | other:통용 인공 지능 헬퍼
    1 |     1 |   1 | zh:1                 | other:基因值模型
    1 |     1 |   1 | ja:1                 | other:cloak ai
    1 |     1 |   1 | ru:1                 | other:модель крупной языковой нейросети
    1 |     1 |   1 | zh:1                 | other:csdn
    1 |     1 |   1 | ko:1                 | other:페이스북
    1 |     1 |   1 | ja:1                 | other:モノちゃん
    1 |     1 |   1 | es:1                 | other:mila
    1 |     1 |   1 | ja:1                 | other:cz（ちぇんじ）
    1 |     1 |   1 | ko:1                 | other:딥시브
    1 |     1 |   1 | ko:1                 | other:ม이แชทบอท
    1 |     1 |   1 | fr:1                 | other:une équipe de développeurs
    1 |     1 |   1 | fr:1                 | other:hermesai
    1 |     1 |   1 | zh:1                 | other:cosette
    1 |     1 |   1 | ru:1                 | other:аида
    1 |     1 |   1 | vi:1                 | other:công ty công nghệ bất
    1 |     1 |   1 | ja:1                 | other:通りすがり
    1 |     1 |   1 | es:1                 | other:beijing jietu technology co., ltd.
    1 |     0 |   0 |                      | other:[모델 이름]
    1 |     1 |   1 | ru:1                 | other:команд
    1 |     1 |   1 | ru:1                 | other:психя
    1 |     1 |   1 | ru:1                 | other:чатбот
    1 |     1 |   1 | ko:1                 | other:lens
    1 |     1 |   1 | ko:1                 | other:오픈소스
    1 |     1 |   1 | fr:1                 | other:snn
    1 |     1 |   1 | vi:1                 | other:công ty công nghệ sô cô la
    1 |     1 |   1 | ja:1                 | other:アマズン・ウォレット
    1 |     1 |   1 | vi:1                 | other:làm việc
    1 |     1 |   1 | ja:1                 | other:aiの仕樣
    1 |     1 |   1 | zh:1                 | other:nova
    1 |     1 |   1 | es:1                 | other:kilo
    1 |     1 |   1 | es:1                 | other:deno 1896
    1 |     1 |   1 | es:1                 | other:tull manufacturing company
    1 |     1 |   1 | ja:1                 | other:a3のありま系
    1 |     1 |   1 | vi:1                 | other:ngôi sao
    1 |     1 |   1 | zh:1                 | other:skywork-ai
    1 |     1 |   1 | ja:1                 | other:moondream
    1 |     1 |   1 | ko:1                 | other:ibm watson
    1 |     1 |   1 | vi:1                 | other:lập trình viên
    1 |     1 |   1 | ru:1                 | other:akshay
    1 |     1 |   1 | ko:1                 | other:카카오 i
    1 |     1 |   1 | ko:1                 | other:울트론(ultron)
    1 |     1 |   1 | ko:1                 | other:lg ai research
    1 |     1 |   1 | vi:1                 | other:aura
    1 |     1 |   1 | ko:1                 | other:한국어 모델
    1 |     1 |   1 | ja:1                 | other:ai辞書
    1 |     1 |   1 | ja:1                 | other:こるねこ（kuroneko）
    1 |     1 |   1 | ja:1                 | other:コヒア・エイ・アイ社
    1 |     1 |   1 | ko:1                 | other:오픈 소스 커뮤니티와 여러 기여자들
    1 |     1 |   1 | ja:1                 | other:divemaster
    1 |     1 |   1 | fr:1                 | other:astro
    1 |     1 |   1 | ru:1                 | other:ламба
    1 |     1 |   1 | ja:1                 | other:アンソロジック社
    1 |     1 |   1 | ko:1                 | other:인공통합언어모델
    1 |     1 |   1 | vi:1                 | other:baichuan series
    1 |     1 |   1 | vi:1                 | other:together ai
    1 |     1 |   1 | ja:1                 | other:aispeak
    1 |     1 |   1 | ru:1                 | other:анна
    1 |     1 |   1 | es:1                 | other:lumi
    1 |     1 |   1 | ko:1                 | other:aida
    1 |     1 |   1 | ja:1                 | other:thing on ring
    1 |     1 |   1 | vi:1                 | other:mô hình của công nghệ dự đoán lớn (llm)
    1 |     1 |   1 | fr:1                 | other:muurut
    1 |     1 |   1 | es:1                 | other:micorosft dinámico 365 recaptcha v3
    1 |     1 |   1 | ja:1                 | other:ニェムトロン・エイチ
    1 |     0 |   0 |                      | other:minimax-m2.8
    1 |     1 |   1 | en:1                 | other:mira
    1 |     1 |   1 | vi:1                 | other:fpt ai
    1 |     1 |   1 | ja:1                 | other:北京ksmart科技
    1 |     1 |   1 | ja:1                 | other:非営利モデル
    1 |     1 |   1 | ko:1                 | other:lots
    1 |     1 |   1 | fr:1                 | other:davinci
    1 |     1 |   1 | ru:1                 | other:эмиль
    1 |     1 |   1 | ru:1                 | other:тестируемый
    1 |     1 |   1 | zh:1                 | other:中文智能助理
    1 |     1 |   1 | ja:1                 | other:谷口心音
    1 |     1 |   1 | ru:1                 | other:немтрон
    1 |     1 |   1 | ko:1                 | other:마치구님
    1 |     1 |   1 | ru:1                 | other:немо트рон 3 ультра
    1 |     1 |   1 | ru:1                 | other:desarrollado на основе конечной сети neu
    1 |     0 |   0 |                      | other:커맨드 r+ 08-2024
    1 |     1 |   1 | ja:1                 | other:オープンソースのllm
    1 |     1 |   1 | ko:1                 | other:루이(louie)
    1 |     1 |   1 | ko:1                 | other:카카오i 오픈빌더
    1 |     1 |   1 | fr:1                 | other:développé
    1 |     1 |   1 | ja:1                 | other:modelfile
    1 |     1 |   1 | ja:1                 | other:stepping stone
    1 |     1 |   1 | ja:1                 | other:ミカエルです。
    1 |     1 |   1 | fr:1                 | other:steve
    1 |     1 |   1 | vi:1                 | other:bạn
    1 |     0 |   0 |                      | other:jamba-france-13b-v1.0
    1 |     1 |   1 | en:1                 | other:a team at
    1 |     1 |   1 | vi:1                 | other:hanoi vip club
    1 |     1 |   1 | fr:1                 | other:une équipe de développeurs et d'ingénieu
    1 |     1 |   1 | ko:1                 | other:인간들
    1 |     1 |   1 | ru:1                 | other:искусственного интеллекта
    1 |     1 |   1 | zh:1                 | other:tensorflow
    1 |     1 |   1 | vi:1                 | other:công ty hekate
    1 |     1 |   1 | ru:1                 | other:ксения
    1 |     1 |   1 | ko:1                 | other:tamtam
    1 |     1 |   1 | ja:1                 | other:オープンアイ
    1 |     1 |   1 | ru:1                 | other:нейма-рад51
    1 |     1 |   1 | fr:1                 | other:nana
    1 |     1 |   1 | ru:1                 | other:лаїса
    1 |     1 |   1 | zh:1                 | other:智谙ai
    1 |     1 |   1 | zh:1                 | other:希尔维斯特
    1 |     1 |   1 | ko:1                 | other:조난데스 아틀리에 팀
    1 |     0 |   0 |                      | other:gemma チーム
    1 |     0 |   0 |                      | other:la serie nex
    1 |     1 |   1 | ru:1                 | other:majesco games
    1 |     1 |   1 | ja:1                 | other:テクノロジー企业
    1 |     1 |   1 | ja:1                 | other:aimi
    1 |     1 |   1 | vi:1                 | other:tina
    1 |     1 |   1 | ru:1                 | other:ариса
    1 |     1 |   1 | ru:1                 | other:лаи
    1 |     1 |   1 | en:1                 | other:nim
    1 |     1 |   1 | ru:1                 | other:эрни (или эр xia)
    1 |     1 |   1 | vi:1                 | other:deepquest
    1 |     1 |   1 | ja:1                 | other:サクラダイア
    1 |     1 |   1 | zh:1                 | other:art
    1 |     1 |   1 | zh:1                 | other:xiaoyi
    1 |     1 |   1 | zh:1                 | other:u.s. national institutes of health and t
    1 |     1 |   1 | vi:1                 | other:ai hỗ trợ thông minh
    1 |     1 |   1 | ko:1                 | other:nemistral-pro-16k-4n
    1 |     1 |   1 | ja:1                 | other:ジーニアス（genesis）
    1 |     1 |   1 | ja:1                 | other:カタリナ
    1 |     1 |   1 | fr:1                 | other:apple intelligence
    1 |     1 |   1 | fr:1                 | other:apple
    1 |     1 |   1 | vi:1                 | other:mô hình của công nghệ ngôn ngữ lớn (llm)
    1 |     1 |   1 | ja:1                 | other:階躍星辰（チャットジェネラティブスター）
    1 |     1 |   1 | fr:1                 | other:nema
    1 |     1 |   1 | ja:1                 | other:百霊大モデル
    1 |     1 |   1 | ru:1                 | other:阿尔法(alpha)
    1 |     1 |   1 | ko:1                 | other:블라우스 모델입니다.
    1 |     1 |   1 | en:1                 | other:neural
    1 |     1 |   1 | en:1                 | other:developers
    1 |     1 |   1 | ko:1                 | other:t5 model
    1 |     1 |   1 | ru:1                 | other:джейми
    1 |     1 |   1 | ru:1                 | other:нейросова
    1 |     0 |   0 |                      | other:노션 ai
    1 |     1 |   1 | ja:1                 | other:[name]
    1 |     1 |   1 | fr:1                 | other:léon
    1 |     1 |   1 | ko:1                 | other:시그노스
    1 |     1 |   1 | fr:1                 | other:clau
    1 |     1 |   1 | ko:1                 | other:ericssons
    1 |     1 |   1 | ja:1                 | other:フンシー（funchi）
    1 |     1 |   1 | fr:1                 | other:lily
    1 |     1 |   1 | ru:1                 | other:bloom
    1 |     1 |   1 | ru:1                 | other:bigscience
    1 |     1 |   1 | ko:1                 | other:dense passage retrieval (dpr)
    1 |     1 |   1 | es:1                 | other:gran modelo lingüístico
    1 |     1 |   1 | ko:1                 | other:나가리타皇子（ながりたかしだ）
    1 |     1 |   1 | ja:1                 | other:オーラ
    1 |     1 |   1 | ja:1                 | other:aiia
    1 |     1 |   1 | es:1                 | other:cogni
    1 |     1 |   1 | ru:1                 | other:edwin
    1 |     1 |   1 | ko:1                 | other:대화식 ai ngôn ngữ mô형입니다
    1 |     1 |   1 | ja:1                 | other:フマーン
    1 |     1 |   1 | ru:1                 | other:beijing jiqi zhixing technology co., ltd
    1 |     1 |   1 | fr:1                 | other:développeurs
    1 |     1 |   1 | ja:1                 | other:neuralvison
    1 |     1 |   1 | ja:1                 | other:ワーメア
    1 |     1 |   1 | ko:1                 | other:naomi
    1 |     1 |   1 | zh:1                 | other:米斯ral ai团队
    1 |     1 |   1 | ja:1                 | other:ランディ・ボリシャック
    1 |     1 |   1 | ru:1                 | other:модель конвертера языков
    1 |     1 |   1 | ja:1                 | other:北京冬季奧運会之友
    1 |     1 |   1 | ja:1                 | other:atomic ai
    1 |     1 |   1 | ja:1                 | other:フランクです。
    1 |     1 |   1 | ru:1                 | other:компанией
    1 |     1 |   1 | ko:1                 | other:ai 엔지니어
    1 |     1 |   1 | ja:1                 | other:paiza
    1 |     1 |   1 | ru:1                 | other:алгоритмической командой тонги, дочерней
    1 |     1 |   1 | ja:1                 | other:amazons comprehend
    1 |     1 |   1 | ru:1                 | other:phi-2
    1 |     1 |   1 | ru:1                 | other:майкрософт
    1 |     1 |   1 | fr:1                 | other:modèle linguistique open-source
    1 |     1 |   1 | ko:1                 | other:지니(gini)
    1 |     1 |   1 | fr:1                 | other:cluade
    1 |     1 |   1 | ru:1                 | other:космос
    1 |     0 |   0 |                      | other:kat-coder (версия pro-v2)
    1 |     1 |   1 | ko:1                 | other:코헤렌트
    1 |     1 |   1 | ja:1                 | other:[ai の名称]
    1 |     1 |   1 | ko:1                 | other:제이다
    1 |     1 |   1 | ja:1                 | other:アシスト
    1 |     1 |   1 | fr:1                 | other:dial
    1 |     1 |   1 | ko:1                 | other:채터봇
    1 |     0 |   0 |                      | other:[ai 이름]
    1 |     1 |   1 | ko:1                 | other:samsung electronics
    1 |     1 |   1 | fr:1                 | other:alexander
    1 |     1 |   1 | ja:1                 | other:が开発した
    1 |     1 |   1 | ko:1                 | other:ssi
    1 |     1 |   1 | ko:1                 | other:분자진화학
    1 |     1 |   1 | zh:1                 | other:海螺ai
    1 |     1 |   1 | ko:1                 | other:한글 named entity recognition(ner) 모델
    1 |     1 |   1 | es:1                 | other:ia de asistencia avanzada
    1 |     0 |   0 |                      | other:đội ngũ gemma
    1 |     1 |   1 | vi:1                 | other:thông ý thanh văn
    1 |     1 |   1 | ru:1                 | other:дэнни
    1 |     1 |   1 | fr:1                 | other:qwq
    1 |     1 |   1 | ru:1                 | other:модель языка
    1 |     1 |   1 | ko:1                 | other:아무게
    1 |     0 |   0 |                      | other:h-1
    1 |     1 |   1 | ru:1                 | other:rental daryl
    1 |     1 |   1 | ru:1                 | other:broadmind
    1 |     1 |   1 | ja:1                 | other:cluener（クルーナー）
    1 |     1 |   1 | ja:1                 | other:openrouter
    1 |     1 |   1 | es:1                 | other:chatdoctor
    1 |     1 |   1 | ru:1                 | other:modelo de lingo ai
    1 |     1 |   1 | ru:1                 | other:большая модель языка обучения
    1 |     0 |   0 |                      | other:bai
    1 |     1 |   1 | vi:1                 | other:hệ thống
    1 |     1 |   1 | vi:1                 | other:trợ lực ai
    1 |     1 |   1 | ja:1                 | other:cloved+
    1 |     1 |   1 | ru:1                 | other:linguia ai
    1 |     1 |   1 | vi:1                 | other:skan
    1 |     1 |   1 | ja:1                 | other:になぼるです。
    1 |     1 |   1 | vi:1                 | other:trợ giúc ai
    1 |     1 |   1 | es:1                 | other:esun
    1 |     0 |   0 |                      | other:통합 원순
    1 |     1 |   1 | ja:1                 | other:hololens
    1 |     1 |   1 | ru:1                 | other:аймис
    1 |     1 |   1 | ko:1                 | other:하모(haamo)
    1 |     1 |   1 | ru:1                 | other:байлант
    1 |     1 |   1 | vi:1                 | other:yuan long
    1 |     1 |   1 | ru:1                 | other:группой специалистов в области искусстве
    1 |     1 |   1 | ru:1                 | other:инициативный асistent мак
    1 |     0 |   0 |                      | other:serie nex
    1 |     1 |   1 | ja:1                 | other:佐藤和也
    1 |     1 |   1 | vi:1                 | other:cyberbot
    1 |     1 |   1 | vi:1                 | other:cyberbot ai
    1 |     0 |   0 |                      | other:step ai
    1 |     1 |   1 | ko:1                 | other:나은어모델
    1 |     1 |   1 | ru:1                 | other:salut
    1 |     1 |   1 | ru:1                 | other:лаундж
    1 |     1 |   1 | ru:1                 | other:искусственная модель интеллекта
    1 |     1 |   1 | ko:1                 | other:지피티
    1 |     1 |   1 | ru:1                 | other:эру (или airo, как вы предпочитаете)
    1 |     1 |   1 | ja:1                 | other:アラスカ
    1 |     1 |   1 | ko:1                 | other:berkeley enlp 팀
    1 |     1 |   1 | ru:1                 | other:iflychat
    1 |     1 |   1 | es:1                 | other:astaroth
    1 |     1 |   1 | vi:1                 | other:ada
    1 |     1 |   1 | ja:1                 | other:ザ・ボーイの最新バージョンのモデル
    1 |     0 |   0 |                      | other:階跃星辰（arcee ai）
    1 |     1 |   1 | ko:1                 | other:통이치엔원
    1 |     1 |   1 | ko:1                 | other:mikroşünun (mikros)
    1 |     1 |   1 | es:1                 | other:césar
    1 |     1 |   1 | zh:1                 | other:语无伦次
    1 |     1 |   1 | ko:1                 | other:jamba라이브러리
    1 |     1 |   1 | es:1                 | other:los ingenieros
    1 |     1 |   1 | vi:1                 | other:lee
    1 |     1 |   1 | vi:1                 | other:cλεύ hoặc cλεύ 1.0
    1 |     1 |   1 | vi:1                 | other:anh
    1 |     1 |   1 | ru:1                 | other:deeppavlov
    1 |     1 |   1 | ko:1                 | other:ลามา ลามา
    1 |     1 |   1 | ko:1                 | other:로버트
    1 |     1 |   1 | ru:1                 | other:aise
    1 |     1 |   1 | fr:1                 | other:l'équipe
    1 |     1 |   1 | vi:1                 | other:helen
    1 |     1 |   1 | es:1                 | other:mis creadores
    1 |     1 |   1 | ja:1                 | other:さくらです。
    1 |     1 |   1 | ko:1                 | other:딥브레인 ai
    1 |     1 |   1 | ru:1                 | other:facebook
    1 |     1 |   1 | ru:1                 | other:сообществом из энтузиастов и исследовате
    1 |     1 |   1 | ja:1                 | other:riku
    1 |     1 |   1 | ja:1                 | other:あかり
    1 |     1 |   1 | vi:1                 | other:copixel
    1 |     1 |   1 | ko:1                 | other:하이패스
    1 |     1 |   1 | ru:1                 | other:джеймс
    1 |     0 |   0 |                      | other:コマンドr+ 08-2024
    1 |     1 |   1 | ru:1                 | other:neuralspace model 1.0
    1 |     1 |   1 | ru:1                 | other:лар
    1 |     1 |   1 | ja:1                 | other:クローバー
    1 |     1 |   1 | vi:1                 | other:trợ xe ai
    1 |     0 |   0 |                      | other:ai 친구
    1 |     1 |   1 | ja:1                 | other:ケイです。
    1 |     0 |   0 |                      | other:[ai 모델 이름]
    1 |     1 |   1 | ja:1                 | other:open ai
    1 |     1 |   1 | zh:1                 | other:智谟ai
    1 |     1 |   1 | ru:1                 | other:соня
    1 |     1 |   1 | ru:1                 | other:beijing jisu tiancheng
    1 |     1 |   1 | vi:1                 | other:mã nguồn mở
    1 |     1 |   1 | ru:1                 | other:немotron
    1 |     0 |   0 |                      | other:통용 인공 지능 로봇
    1 |     1 |   1 | es:1                 | other:3d model
    1 |     1 |   1 | ja:1                 | other:オレンジ
    1 |     1 |   1 | ko:1                 | other:clove
    1 |     1 |   1 | vi:1                 | other:trợ líu ai
    1 |     1 |   1 | fr:1                 | other:luma
    1 |     1 |   1 | ja:1                 | other:ディープシーク
    1 |     1 |   1 | ru:1                 | other:иван
    1 |     1 |   1 | ja:1                 | other:aisling
    1 |     1 |   1 | es:1                 | other:milo
    1 |     1 |   1 | vi:1                 | other:aiv
    1 |     1 |   1 | ru:1                 | other:бай
    1 |     1 |   1 | ja:1                 | other:コリン・カールス
    1 |     1 |   1 | ja:1                 | other:オランダ
    1 |     1 |   1 | ja:1                 | other:フクロウです
    1 |     1 |   1 | ru:1                 | other:макс
    1 |     1 |   1 | ko:1                 | other:perplexity라는 ai 검색 도우미
    1 |     0 |   0 |                      | other:가상 비서
    1 |     1 |   1 | ru:1                 | other:vitality core tools
    1 |     1 |   1 | ja:1                 | other:ラテマジシャン
    1 |     1 |   1 | ja:1                 | other:shutterstock社
    1 |     1 |   1 | fr:1                 | other:mon créateur
    1 |     1 |   1 | ja:1                 | other:深蘭科技（deepblue technology）
    1 |     1 |   1 | es:1                 | other:creado para ayudarte con información, re
    1 |     1 |   1 | ko:1                 | other:มิซุโระ
    1 |     1 |   1 | vi:1                 | other:mô hình nói chuyện dựa trên ổn định của 
    1 |     1 |   1 | es:1                 | other:nexus
    1 |     1 |   1 | vi:1                 | other:alya
    1 |     1 |   1 | ru:1                 | other:языковое модель as
    1 |     1 |   1 | es:1                 | other:beijing jisu technology
    1 |     1 |   1 | vi:1                 | other:khoa học và công nghệ vingroup
    1 |     1 |   1 | zh:1                 | other:一家公司
    1 |     1 |   1 | ja:1                 | other:ボランティアのコミュニティ
    1 |     1 |   1 | es:1                 | other:beijing jieting technology co., ltd.
    1 |     0 |   0 |                      | other:kat-coder pro版
    1 |     0 |   0 |                      | other:ling-2.6-flash
    1 |     1 |   1 | vi:1                 | other:thông nghĩa thiên vấn
    1 |     1 |   1 | fr:1                 | other:léa
    1 |     1 |   1 | ko:1                 | other:샤오미의 llm core team
    1 |     1 |   1 | vi:1                 | other:thông dịch thiên
    1 |     1 |   1 | ko:1                 | other:나미다
    1 |     1 |   1 | en:1                 | other:genie
    1 |     1 |   1 | en:1                 | other:fimiq
    1 |     1 |   1 | ko:1                 | other:korini
    1 |     1 |   1 | ko:1                 | other:kakaobrain
    1 |     1 |   1 | ru:1                 | other:nous research
    1 |     1 |   1 | ja:1                 | other:hapihwoa
    1 |     1 |   1 | ko:1                 | other:ai(에이아이)
    1 |     1 |   1 | zh:1                 | other:希尔瓦
    1 |     1 |   1 | vi:1                 | other:hiro
    1 |     0 |   0 |                      | other:minimax 公司
    1 |     1 |   1 | zh:1                 | other:李娜老师或李娜姐
    1 |     1 |   1 | es:1                 | other:cursor ai
    1 |     1 |   1 | es:1                 | other:cursor
    1 |     1 |   1 | vi:1                 | other:vietai
    1 |     1 |   1 | vi:1                 | other:trợ giúc đặc biệt
    1 |     1 |   1 | ko:1                 | other:ai research lab
    1 |     1 |   1 | ko:1                 | other:마이크로소프트
    1 |     0 |   0 |                      | other:ai(저)
    1 |     1 |   1 | ru:1                 | other:большой языковый модель
    1 |     1 |   1 | ko:1                 | other:multitask unified model (bert)
    1 |     1 |   1 | ja:1                 | other:アリバabaクラウド
    1 |     1 |   1 | ru:1                 | other:группой добровольцев
    1 |     1 |   1 | ru:1                 | other:antbailing
    1 |     1 |   1 | zh:1                 | other:metakosnibor developments
    1 |     1 |   1 | ja:1                 | other:createtable
    1 |     1 |   1 | ja:1                 | other:ai助言者
    1 |     1 |   1 | en:1                 | other:vicuna-13b-delta-v1.1-superhot-8bit
    1 |     1 |   1 | zh:1                 | other:巨人ia
    1 |     1 |   1 | zh:1                 | other:titan 1
    1 |     1 |   1 | ko:1                 | other:koala 7b
    1 |     1 |   1 | ru:1                 | other:юси-россия
    1 |     0 |   0 |                      | other:hat-coder
    1 |     1 |   1 | ja:1                 | other:shining 3d
    1 |     1 |   1 | ru:1                 | other:beijing qianwen question ai technology c
    1 |     1 |   1 | ru:1                 | other:元培软件
    1 |     1 |   1 | ru:1                 | other:юрий
    1 |     1 |   1 | ja:1                 | other:moondreamer
    1 |     1 |   1 | ja:1                 | other:ペルプレクシティ
    1 |     1 |   1 | es:1                 | other:cala
    1 |     1 |   1 | es:1                 | other:calamus
    1 |     1 |   1 | ja:1                 | other:お名前さん
    1 |     0 |   0 |                      | other:コマンドr+08-2024
    1 |     1 |   1 | es:1                 | other:盘古 (pangu)
    1 |     1 |   1 | ru:1                 | other:nllb-200 (no language left behind)
    1 |     1 |   1 | vi:1                 | other:cộng đồng
    1 |     1 |   1 | ru:1                 | other:kunlun ai
    1 |     1 |   1 | ru:1                 | other:асистент з ai
    1 |     1 |   1 | ru:1                 | other:ψυχотворческимai
    1 |     1 |   1 | fr:1                 | other:ai ying
    1 |     1 |   1 | fr:1                 | other:équipes scientifiques chinoises
    1 |     1 |   1 | ja:1                 | other:百霊（リン）
    1 |     1 |   1 | ja:1                 | other:チャットボット
    1 |     1 |   1 | zh:1                 | other:台灣的科技公司
    1 |     1 |   1 | fr:1                 | other:des étudiants de l'université de califor
    1 |     1 |   1 | zh:1                 | other:程咪咪
    1 |     1 |   1 | ru:1                 | other:лаура
    1 |     1 |   1 | en:1                 | other:codehelper
    1 |     1 |   1 | ja:1                 | other:alpha intelligence
    1 |     1 |   1 | vi:1                 | other:mô hình trợ lúc ai
    1 |     1 |   1 | ru:1                 | other:тоньи (tonyi)
    1 |     1 |   1 | ko:1                 | other:ภาษ_variable
    1 |     1 |   1 | ja:1                 | other:百霊（リング）
    1 |     1 |   1 | ru:1                 | other:группой энтузиастов
    1 |     1 |   1 | ja:1                 | other:このチャットボット
    1 |     1 |   1 | ru:1                 | other:толковый агент
    1 |     1 |   1 | ru:1                 | other:mira sen
    1 |     0 |   0 |                      | other:톤이 랩
    1 |     1 |   1 | ko:1                 | other:중국 연구자들과 엔지니어들
    1 |     1 |   1 | ru:1                 | other:zelda
    1 |     1 |   1 | vi:1                 | other:công ty fpt smart cloud
    1 |     1 |   1 | ja:1                 | other:スマイルモデル
    1 |     1 |   1 | en:1                 | other:sage convnet
    1 |     1 |   1 | ja:1                 | other:kazuki
    1 |     1 |   1 | vi:1                 | other:trợ giúc nhân tạo
    1 |     1 |   1 | ja:1                 | other:ハヤテ
    1 |     1 |   1 | fr:1                 | other:llamaindex
    1 |     1 |   1 | fr:1                 | other:ia dévoué
    1 |     1 |   1 | ja:1                 | other:deepbrain ai
    1 |     1 |   1 | zh:1                 | other:2023年11月25日
    1 |     1 |   1 | ja:1                 | other:タツダ
    1 |     1 |   1 | ru:1                 | other:клиент- servise- center
    1 |     1 |   1 | vi:1                 | other:01ai
    1 |     1 |   1 | ja:1                 | other:ミーモ（miimo）
    1 |     1 |   1 | ko:1                 | other:아싸리
    1 |     1 |   1 | vi:1                 | other:fpt.ai conversation
    1 |     0 |   0 |                      | other:jamba-fr-32-c4-oct2024
    1 |     1 |   1 | ja:1                 | other:文遠（wenyan）
    1 |     1 |   1 | ja:1                 | other:センセタイム（商湯科技）
    1 |     1 |   1 | ko:1                 | other:machine learning company
    1 |     1 |   1 | ko:1                 | other:benazir bhutto
